code,name,day_seq,is_global_working,lang_code,is_active,cr_by,cr_dtimes
101,SUN,1,FALSE,eng,TRUE,superadmin,now()
102,MON,2,TRUE,eng,TRUE,superadmin,now()
103,TUE,3,TRUE,eng,TRUE,superadmin,now()
104,WED,4,TRUE,eng,TRUE,superadmin,now()
105,THU,5,TRUE,eng,TRUE,superadmin,now()
106,FRI,6,TRUE,eng,TRUE,superadmin,now()
107,SAT,7,FALSE,eng,TRUE,superadmin,now()
101,الاحد,1,FALSE,ara,TRUE,superadmin,now()
102,الاثنين,2,TRUE,ara,TRUE,superadmin,now()
103,الثلاثاء,3,TRUE,ara,TRUE,superadmin,now()
104,الاربعاء,4,TRUE,ara,TRUE,superadmin,now()
105,الخميس,5,TRUE,ara,TRUE,superadmin,now()
106,الجمعه,6,TRUE,ara,TRUE,superadmin,now()
107,السبت,7,FALSE,ara,TRUE,superadmin,now()
101,DIM,1,FALSE,fra,TRUE,superadmin,now()
102,LUN,2,TRUE,fra,TRUE,superadmin,now()
103,MAR,3,TRUE,fra,TRUE,superadmin,now()
104,MER,4,TRUE,fra,TRUE,superadmin,now()
105,JEU,5,TRUE,fra,TRUE,superadmin,now()
106,VEN,6,TRUE,fra,TRUE,superadmin,now()
107,SAM,7,FALSE,fra,TRUE,superadmin,now()
