regcntr_id,hol_date,hol_name,hol_reason,lang_code,is_active,cr_by,cr_dtimes
10001,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10002,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10003,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10004,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10005,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10006,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10007,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10008,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10009,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10010,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10011,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10012,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10013,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10014,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10015,9/24/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10001,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10002,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10003,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10004,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10005,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10006,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10007,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10008,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10009,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10010,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10011,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10012,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10013,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10014,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
10015,9/25/2019,Emergency Holiday,Emergency Holiday,eng,TRUE,superadmin,now()
