regcntr_id,day_code,lang_code,is_working,is_active,cr_by,cr_dtimes
10001,101,eng,FALSE,TRUE,superadmin,now()
10001,102,eng,TRUE,TRUE,superadmin,now()
10001,103,eng,TRUE,TRUE,superadmin,now()
10001,104,eng,TRUE,TRUE,superadmin,now()
10001,105,eng,TRUE,TRUE,superadmin,now()
10001,106,eng,TRUE,TRUE,superadmin,now()
10001,107,eng,FALSE,TRUE,superadmin,now()
10002,101,eng,FALSE,TRUE,superadmin,now()
10002,102,eng,TRUE,TRUE,superadmin,now()
10002,103,eng,TRUE,TRUE,superadmin,now()
10002,104,eng,TRUE,TRUE,superadmin,now()
10002,105,eng,TRUE,TRUE,superadmin,now()
10002,106,eng,TRUE,TRUE,superadmin,now()
10002,107,eng,FALSE,TRUE,superadmin,now()
10003,101,eng,FALSE,TRUE,superadmin,now()
10003,102,eng,TRUE,TRUE,superadmin,now()
10003,103,eng,TRUE,TRUE,superadmin,now()
10003,104,eng,TRUE,TRUE,superadmin,now()
10003,105,eng,TRUE,TRUE,superadmin,now()
10003,106,eng,TRUE,TRUE,superadmin,now()
10003,107,eng,FALSE,TRUE,superadmin,now()
10004,101,eng,FALSE,TRUE,superadmin,now()
10004,102,eng,TRUE,TRUE,superadmin,now()
10004,103,eng,TRUE,TRUE,superadmin,now()
10004,104,eng,TRUE,TRUE,superadmin,now()
10004,105,eng,TRUE,TRUE,superadmin,now()
10004,106,eng,TRUE,TRUE,superadmin,now()
10004,107,eng,FALSE,TRUE,superadmin,now()
10005,101,eng,FALSE,TRUE,superadmin,now()
10005,102,eng,TRUE,TRUE,superadmin,now()
10005,103,eng,TRUE,TRUE,superadmin,now()
10005,104,eng,TRUE,TRUE,superadmin,now()
10005,105,eng,TRUE,TRUE,superadmin,now()
10005,106,eng,TRUE,TRUE,superadmin,now()
10005,107,eng,FALSE,TRUE,superadmin,now()
10006,101,eng,FALSE,TRUE,superadmin,now()
10006,102,eng,TRUE,TRUE,superadmin,now()
10006,103,eng,TRUE,TRUE,superadmin,now()
10006,104,eng,TRUE,TRUE,superadmin,now()
10006,105,eng,TRUE,TRUE,superadmin,now()
10006,106,eng,TRUE,TRUE,superadmin,now()
10006,107,eng,FALSE,TRUE,superadmin,now()
10007,101,eng,FALSE,TRUE,superadmin,now()
10007,102,eng,TRUE,TRUE,superadmin,now()
10007,103,eng,TRUE,TRUE,superadmin,now()
10007,104,eng,TRUE,TRUE,superadmin,now()
10007,105,eng,TRUE,TRUE,superadmin,now()
10007,106,eng,TRUE,TRUE,superadmin,now()
10007,107,eng,FALSE,TRUE,superadmin,now()
10008,101,eng,FALSE,TRUE,superadmin,now()
10008,102,eng,TRUE,TRUE,superadmin,now()
10008,103,eng,TRUE,TRUE,superadmin,now()
10008,104,eng,TRUE,TRUE,superadmin,now()
10008,105,eng,TRUE,TRUE,superadmin,now()
10008,106,eng,TRUE,TRUE,superadmin,now()
10008,107,eng,FALSE,TRUE,superadmin,now()
10009,101,eng,FALSE,TRUE,superadmin,now()
10009,102,eng,TRUE,TRUE,superadmin,now()
10009,103,eng,TRUE,TRUE,superadmin,now()
10009,104,eng,TRUE,TRUE,superadmin,now()
10009,105,eng,TRUE,TRUE,superadmin,now()
10009,106,eng,TRUE,TRUE,superadmin,now()
10009,107,eng,FALSE,TRUE,superadmin,now()
10010,101,eng,FALSE,TRUE,superadmin,now()
10010,102,eng,TRUE,TRUE,superadmin,now()
10010,103,eng,TRUE,TRUE,superadmin,now()
10010,104,eng,TRUE,TRUE,superadmin,now()
10010,105,eng,TRUE,TRUE,superadmin,now()
10010,106,eng,TRUE,TRUE,superadmin,now()
10010,107,eng,FALSE,TRUE,superadmin,now()
10011,101,eng,FALSE,TRUE,superadmin,now()
10011,102,eng,TRUE,TRUE,superadmin,now()
10011,103,eng,TRUE,TRUE,superadmin,now()
10011,104,eng,TRUE,TRUE,superadmin,now()
10011,105,eng,TRUE,TRUE,superadmin,now()
10011,106,eng,TRUE,TRUE,superadmin,now()
10011,107,eng,FALSE,TRUE,superadmin,now()
10012,101,eng,FALSE,TRUE,superadmin,now()
10012,102,eng,TRUE,TRUE,superadmin,now()
10012,103,eng,TRUE,TRUE,superadmin,now()
10012,104,eng,TRUE,TRUE,superadmin,now()
10012,105,eng,TRUE,TRUE,superadmin,now()
10012,106,eng,TRUE,TRUE,superadmin,now()
10012,107,eng,FALSE,TRUE,superadmin,now()
10013,101,eng,FALSE,TRUE,superadmin,now()
10013,102,eng,TRUE,TRUE,superadmin,now()
10013,103,eng,TRUE,TRUE,superadmin,now()
10013,104,eng,TRUE,TRUE,superadmin,now()
10013,105,eng,TRUE,TRUE,superadmin,now()
10013,106,eng,TRUE,TRUE,superadmin,now()
10013,107,eng,FALSE,TRUE,superadmin,now()
10014,101,eng,FALSE,TRUE,superadmin,now()
10014,102,eng,TRUE,TRUE,superadmin,now()
10014,103,eng,TRUE,TRUE,superadmin,now()
10014,104,eng,TRUE,TRUE,superadmin,now()
10014,105,eng,TRUE,TRUE,superadmin,now()
10014,106,eng,TRUE,TRUE,superadmin,now()
10014,107,eng,FALSE,TRUE,superadmin,now()
10015,101,eng,FALSE,TRUE,superadmin,now()
10015,102,eng,TRUE,TRUE,superadmin,now()
10015,103,eng,TRUE,TRUE,superadmin,now()
10015,104,eng,TRUE,TRUE,superadmin,now()
10015,105,eng,TRUE,TRUE,superadmin,now()
10015,106,eng,TRUE,TRUE,superadmin,now()
10015,107,eng,FALSE,TRUE,superadmin,now()
